lccn,url,state,title
sn85025905,http://chroniclingamerica.loc.gov/lccn/sn85025905.json,Alabama,Chattanooga daily rebel.
sn82015209,http://chroniclingamerica.loc.gov/lccn/sn82015209.json,Alabama,The Chattanooga Daily Rebel.
sn82014371,http://chroniclingamerica.loc.gov/lccn/sn82014371.json,Alabama,The daily Chattanooga rebel.
sn83045160,http://chroniclingamerica.loc.gov/lccn/sn83045160.json,Alabama,Memphis daily appeal.
sn94051341,http://chroniclingamerica.loc.gov/lccn/sn94051341.json,Arizona,The argus.
sn82016246,http://chroniclingamerica.loc.gov/lccn/sn82016246.json,Arizona,The Arizona champion.
sn82014896,http://chroniclingamerica.loc.gov/lccn/sn82014896.json,Arizona,Arizona citizen.
sn94050505,http://chroniclingamerica.loc.gov/lccn/sn94050505.json,Arizona,The Arizona daily orb.
sn95060900,http://chroniclingamerica.loc.gov/lccn/sn95060900.json,Arizona,The Arizona kicker. volume
sn82016242,http://chroniclingamerica.loc.gov/lccn/sn82016242.json,Arizona,Arizona miner.
sn84020558,http://chroniclingamerica.loc.gov/lccn/sn84020558.json,Arizona,Arizona republican.
sn95060876,http://chroniclingamerica.loc.gov/lccn/sn95060876.json,Arizona,Arizona sentinel and Yuma weekly examiner.
sn95060877,http://chroniclingamerica.loc.gov/lccn/sn95060877.json,Arizona,Arizona sentinel Yuma southwest.
sn95060878,http://chroniclingamerica.loc.gov/lccn/sn95060878.json,Arizona,Arizona sentinel.
sn84021912,http://chroniclingamerica.loc.gov/lccn/sn84021912.json,Arizona,The Arizona sentinel. volume
sn84021913,http://chroniclingamerica.loc.gov/lccn/sn84021913.json,Arizona,Arizona silver belt.
sn82015133,http://chroniclingamerica.loc.gov/lccn/sn82015133.json,Arizona,Arizona weekly citizen.
sn94052364,http://chroniclingamerica.loc.gov/lccn/sn94052364.json,Arizona,Arizona weekly enterprise.
sn85032938,http://chroniclingamerica.loc.gov/lccn/sn85032938.json,Arizona,Arizona weekly journal-miner.
sn82014898,http://chroniclingamerica.loc.gov/lccn/sn82014898.json,Arizona,Arizona weekly miner.
sn89077833,http://chroniclingamerica.loc.gov/lccn/sn89077833.json,Arizona,Arizona weekly republican.
sn84024827,http://chroniclingamerica.loc.gov/lccn/sn84024827.json,Arizona,Bisbee daily review.
sn96060796,http://chroniclingamerica.loc.gov/lccn/sn96060796.json,Arizona,The border vidette.
sn94050557,http://chroniclingamerica.loc.gov/lccn/sn94050557.json,Arizona,The Clifton clarion.
sn94050506,http://chroniclingamerica.loc.gov/lccn/sn94050506.json,Arizona,Cochise review and Arizona daily orb.
sn94050513,http://chroniclingamerica.loc.gov/lccn/sn94050513.json,Arizona,Cochise review.
sn87062055,http://chroniclingamerica.loc.gov/lccn/sn87062055.json,Arizona,The Coconino sun [microform].
sn82016245,http://chroniclingamerica.loc.gov/lccn/sn82016245.json,Arizona,The Coconino sun.
sn87062054,http://chroniclingamerica.loc.gov/lccn/sn87062054.json,Arizona,The Coconino weekly sun.
sn94050892,http://chroniclingamerica.loc.gov/lccn/sn94050892.json,Arizona,The copper era and Morenci leader.
sn89053851,http://chroniclingamerica.loc.gov/lccn/sn89053851.json,Arizona,The copper era.
sn87082863,http://chroniclingamerica.loc.gov/lccn/sn87082863.json,Arizona,Daily Arizona silver belt.
sn96060682,http://chroniclingamerica.loc.gov/lccn/sn96060682.json,Arizona,Daily Tombstone epitaph.
sn94052361,http://chroniclingamerica.loc.gov/lccn/sn94052361.json,Arizona,The Daily Tombstone.
sn94050554,http://chroniclingamerica.loc.gov/lccn/sn94050554.json,Arizona,The Flagstaff sun-democrat.
sn94050572,http://chroniclingamerica.loc.gov/lccn/sn94050572.json,Arizona,The Florence tribune.
sn95070521,http://chroniclingamerica.loc.gov/lccn/sn95070521.json,Arizona,El fronterizo. volume
sn95060914,http://chroniclingamerica.loc.gov/lccn/sn95060914.json,Arizona,Graham guardian.
sn94051342,http://chroniclingamerica.loc.gov/lccn/sn94051342.json,Arizona,Holbrook argus.
sn95060791,http://chroniclingamerica.loc.gov/lccn/sn95060791.json,Arizona,The Holbrook news.
sn96060547,http://chroniclingamerica.loc.gov/lccn/sn96060547.json,Arizona,Mohave County miner and our mineral wealth.
sn84024828,http://chroniclingamerica.loc.gov/lccn/sn84024828.json,Arizona,Mohave County miner.
sn85032933,http://chroniclingamerica.loc.gov/lccn/sn85032933.json,Arizona,The oasis.
sn87062082,http://chroniclingamerica.loc.gov/lccn/sn87062082.json,Arizona,The Phoenix herald.
