doc_id,version,part,book,chapter,verse,text
Genesis 27:23 (Douay-Rheims),Douay-Rheims,Old Testament,Genesis,27,23,NA
Genesis 49:32 (Douay-Rheims),Douay-Rheims,Old Testament,Genesis,49,32,NA
Exodus 9:21 (Douay-Rheims),Douay-Rheims,Old Testament,Exodus,9,21,NA
Exodus 40:14 (Douay-Rheims),Douay-Rheims,Old Testament,Exodus,40,14,NA
Exodus 40:15 (Douay-Rheims),Douay-Rheims,Old Testament,Exodus,40,15,NA
Leviticus 26:46 (Douay-Rheims),Douay-Rheims,Old Testament,Leviticus,26,46,NA
Numbers 11:35 (Douay-Rheims),Douay-Rheims,Old Testament,Numbers,11,35,NA
Job 32:18 (Douay-Rheims),Douay-Rheims,Old Testament,Job,32,18,NA
Job 40:4 (Douay-Rheims),Douay-Rheims,Old Testament,Job,40,4,NA
Song of Solomon 1:1 (Douay-Rheims),Douay-Rheims,Old Testament,Song of Solomon,1,1,NA
