reference,verse,url,match,likely,most_unusual_phrase,token_count,proportion,tfidf,page
Luke 10:31 (KJV),"And by chance there came down a certain priest that way: and when he saw him, he passed by on the other side.",http://chroniclingamerica.loc.gov/lccn/sn83040198/1897-12-23/ed-1/seq-3/#words=chance+came+down+certain+priest+way+when+saw+passed+other+side,FALSE,no,and when he saw,1,0.02631578947,0.1992378928,sn83040198/1897-12-23/ed-1/seq-3/
Romans 3:23 (KJV),"For all have sinned, and come short of the glory of God;",http://chroniclingamerica.loc.gov/lccn/sn85034235/1883-01-25/ed-1/seq-1/#words=all+sinned+come+short+glory+god,TRUE,yes,come short of the glory,5,0.2941176471,2.763034851,sn85034235/1883-01-25/ed-1/seq-1/
Judges 19:1 (KJV),"And it came to pass in those days, when there was no king in Israel, that there was a certain Levite sojourning on the side of mount Ephraim, who took to him a concubine out of Bethlehemjudah.",http://chroniclingamerica.loc.gov/lccn/sn88076523/1911-08-18/ed-1/seq-2/#words=came+pass+those+days+when+king+israel+certain+levite+sojourning+side+mount+ephraim+took+concubine+out+bethlehemjudah,FALSE,no,on the side of,2,0.01612903226,0.2649320585,sn88076523/1911-08-18/ed-1/seq-2/
Proverbs 10:28 (KJV),The hope of the righteous shall be gladness: but the expectation of the wicked shall perish.,http://chroniclingamerica.loc.gov/lccn/sn84026853/1886-04-28/ed-1/seq-1/#words=hope+righteous+shall+gladness+expectation+wicked+shall+perish,FALSE,possibly,the hope of the righteous,3,0.125,1.170029201,sn84026853/1886-04-28/ed-1/seq-1/
Galatians 3:15 (KJV),"Brethren, I speak after the manner of men; Though it be but a man's covenant, yet if it be confirmed, no man disannulleth, or addeth thereto.",http://chroniclingamerica.loc.gov/lccn/sn83025121/1897-03-02/ed-1/seq-2/#words=brethren+i+speak+after+manner+men+though+man's+covenant+yet+confirmed+man+disannulleth+addeth+thereto,FALSE,no,after the manner of,1,0.02222222222,0.1671054807,sn83025121/1897-03-02/ed-1/seq-2/
1 Maccabees 13:7 (KJV),"Now as soon as the people heard these words, their spirit revived.",http://chroniclingamerica.loc.gov/lccn/sn82014760/1862-03-19/ed-1/seq-1/#words=now+soon+people+heard+words+spirit+revived,FALSE,possibly,as soon as the,2,0.05882352941,0.9353564175,sn82014760/1862-03-19/ed-1/seq-1/
John 7:17 (KJV),"If any man will do his will, he shall know of the doctrine, whether it be of God, or whether I speak of myself.",http://chroniclingamerica.loc.gov/lccn/sn84026688/1903-02-05/ed-1/seq-1/#words=any+man+shall+know+doctrine+whether+god+whether+i+speak+myself,TRUE,yes,if any man will do,9,0.2195121951,2.129326177,sn84026688/1903-02-05/ed-1/seq-1/
Ecclesiastes 1:2 (KJV),"Vanity of vanities, saith the Preacher, vanity of vanities; all is vanity.",http://chroniclingamerica.loc.gov/lccn/sn86083274/1889-12-13/ed-1/seq-2/#words=vanity+vanities+saith+preacher+vanity+vanities+all+vanity,TRUE,possibly,the preacher vanity of,1,0.05882352941,0.5777842192,sn86083274/1889-12-13/ed-1/seq-2/
Matthew 6:13 (KJV),"And lead us not into temptation, but deliver us from evil: For thine is the kingdom, and the power, and the glory, for ever. Amen.",http://chroniclingamerica.loc.gov/lccn/sn86072143/1876-12-01/ed-1/seq-1/#words=lead+us+temptation+deliver+us+evil+thine+kingdom+power+glory+ever+amen,TRUE,yes,power and the glory,30,0.6511627907,6.657510873,sn86072143/1876-12-01/ed-1/seq-1/
Acts 10:28 (KJV),"And he said unto them, Ye know how that it is an unlawful thing for a man that is a Jew to keep company, or come unto one of another nation; but God hath shewed me that I should not call any man common or unclean.",http://chroniclingamerica.loc.gov/lccn/sn82015387/1898-12-17/ed-1/seq-4/#words=said+unto+ye+know+how+unlawful+thing+man+jew+keep+company+come+unto+one+another+nation+god+hath+shewed+me+i+should+call+any+man+common+unclean,FALSE,no,that it is an,1,0.01234567901,0.1162576126,sn82015387/1898-12-17/ed-1/seq-4/
Isaiah 28:15 (KJV),"Because ye have said, We have made a covenant with death, and with hell are we at agreement; when the overflowing scourge shall pass through, it shall not come unto us: for we have made lies our refuge, and under falsehood have we hid ourselves:",http://chroniclingamerica.loc.gov/lccn/sn84020104/1853-12-16/ed-1/seq-4/#words=because+ye+said+we+made+covenant+death+hell+we+agreement+when+overflowing+scourge+shall+pass+through+shall+come+unto+us+we+made+lies+our+refuge+under+falsehood+we+hid+ourselves,FALSE,no,we have made a,1,0.002409638554,0.1183413461,sn84020104/1853-12-16/ed-1/seq-4/
Ecclesiasticus 17:5 (KJV),"They received the use of the five operations of the Lord, and in the sixth place he imparted them understanding, and in the seventh speech, an interpreter of the cogitations thereof.]",http://chroniclingamerica.loc.gov/lccn/sn86072143/1872-03-15/ed-1/seq-3/#words=received+use+five+operations+lord+sixth+place+imparted+understanding+seventh+speech+interpreter+cogitations+thereof,FALSE,no,the use of the,1,0.006172839506,0.1615503599,sn86072143/1872-03-15/ed-1/seq-3/
Tobit 7:15 (KJV),Then they began to eat.,http://chroniclingamerica.loc.gov/lccn/sn82016419/1877-07-27/ed-1/seq-1/#words=began+eat,FALSE,yes,they began to eat,1,0.3333333333,3.274110575,sn82016419/1877-07-27/ed-1/seq-1/
1 Kings 6:30 (KJV),"And the floor of the house he overlaid with gold, within and without.",http://chroniclingamerica.loc.gov/lccn/sn97071028/1888-06-08/ed-1/seq-1/#words=floor+house+overlaid+gold+within+without,FALSE,possibly,of the house he,1,0.05263157895,0.4804833971,sn97071028/1888-06-08/ed-1/seq-1/
Baruch 2:26 (KJV),"And the house which is called by thy name hast thou laid waste, as it is to be seen this day, for the wickedness of the house of Israel and the house of Juda.",http://chroniclingamerica.loc.gov/lccn/sn88078726/1854-06-15/ed-1/seq-1/#words=house+called+thy+name+hast+thou+laid+waste+seen+day+wickedness+house+israel+house+juda,FALSE,no,it is to be,1,0.008928571429,0.1681583325,sn88078726/1854-06-15/ed-1/seq-1/
Luke 1:63 (KJV),"And he asked for a writing table, and wrote, saying, His name is John. And they marvelled all.",http://chroniclingamerica.loc.gov/lccn/sn83016942/1838-07-21/ed-1/seq-3/#words=asked+writing+table+wrote+saying+name+john+marvelled+all,FALSE,possibly,his name is john and,3,0.05172413793,1.016103282,sn83016942/1838-07-21/ed-1/seq-3/
1 Samuel 17:3 (KJV),"And the Philistines stood on a mountain on the one side, and Israel stood on a mountain on the other side: and there was a valley between them.",http://chroniclingamerica.loc.gov/lccn/sn83016943/1910-06-24/ed-1/seq-5/#words=philistines+stood+mountain+one+side+israel+stood+mountain+other+side+valley+between,FALSE,possibly,the one side and,3,0.06382978723,0.4916472619,sn83016943/1910-06-24/ed-1/seq-5/
Ecclesiasticus 19:15 (KJV),"Admonish a friend: for many times it is a slander, and believe not every tale.",http://chroniclingamerica.loc.gov/lccn/sn85025620/1888-03-01/ed-1/seq-2/#words=admonish+friend+many+times+slander+believe+every+tale,FALSE,no,times it is a,1,0.04347826087,0.4270579011,sn85025620/1888-03-01/ed-1/seq-2/
Galatians 4:9 (KJV),"But now, after that ye have known God, or rather are known of God, how turn ye again to the weak and beggarly elements, whereunto ye desire again to be in bondage?",http://chroniclingamerica.loc.gov/lccn/sn84024716/1908-06-03/ed-1/seq-3/#words=now+after+ye+known+god+rather+known+god+how+turn+ye+again+weak+beggarly+elements+whereunto+ye+desire+again+bondage,FALSE,no,to the weak and,1,0.01754385965,0.1723216092,sn84024716/1908-06-03/ed-1/seq-3/
1 Maccabees 2:21 (KJV),God forbid that we should forsake the law and the ordinances.,http://chroniclingamerica.loc.gov/lccn/sn83016810/1905-08-05/ed-1/seq-2/#words=god+forbid+we+should+forsake+law+ordinances,FALSE,yes,god forbid that we,3,0.2,1.825836909,sn83016810/1905-08-05/ed-1/seq-2/
Job 1:7 (KJV),"And the LORD said unto Satan, Whence comest thou? Then Satan answered the LORD, and said, From going to and fro in the earth, and from walking up and down in it.",http://chroniclingamerica.loc.gov/lccn/sn83025313/1913-11-28/ed-1/seq-2/#words=lord+said+unto+satan+whence+comest+thou+satan+answered+lord+said+going+fro+earth+walking+up+down,FALSE,no,walking up and down,1,0.01886792453,0.1776767286,sn83025313/1913-11-28/ed-1/seq-2/
Matthew 14:4 (KJV),"For John said unto him, It is not lawful for thee to have her.",http://chroniclingamerica.loc.gov/lccn/sn82014593/1852-02-09/ed-1/seq-2/#words=john+said+unto+lawful+thee,TRUE,yes,said unto him it,13,0.619047619,5.674318891,sn82014593/1852-02-09/ed-1/seq-2/
Genesis 37:28 (KJV),"Then there passed by Midianites merchantmen; and they drew and lifted up Joseph out of the pit, and sold Joseph to the Ishmeelites for twenty pieces of silver: and they brought Joseph into Egypt.",http://chroniclingamerica.loc.gov/lccn/sn92065637/1896-06-24/ed-1/seq-4/#words=passed+midianites+merchantmen+drew+lifted+up+joseph+out+pit+sold+joseph+ishmeelites+twenty+pieces+silver+brought+joseph+egypt,TRUE,yes,silver and they brought,27,0.2978142077,4.327052354,sn92065637/1896-06-24/ed-1/seq-4/
2 Esdras 12:48 (KJV),"As for me, I have not forsaken you, neither am I departed from you: but am come into this place, to pray for the desolation of Sion, and that I might seek mercy for the low estate of your sanctuary.",http://chroniclingamerica.loc.gov/lccn/sn85034311/1875-07-16/ed-1/seq-4/#words=me+i+forsaken+you+neither+am+i+departed+you+am+come+place+pray+desolation+sion+i+might+seek+mercy+low+estate+your+sanctuary,FALSE,no,me i have not,1,0.01369863014,0.1250573225,sn85034311/1875-07-16/ed-1/seq-4/
Proverbs 8:3 (KJV),"She crieth at the gates, at the entry of the city, at the coming in at the doors.",http://chroniclingamerica.loc.gov/lccn/sn93067846/1894-03-21/ed-1/seq-5/#words=crieth+gates+entry+city+coming+doors,FALSE,no,of the city at,1,0.01724137931,0.3247195385,sn93067846/1894-03-21/ed-1/seq-5/
Genesis 19:14 (KJV),"And Lot went out, and spake unto his sons in law, which married his daughters, and said, Up, get you out of this place; for the LORD will destroy this city. But he seemed as one that mocked unto his sons in law.",http://chroniclingamerica.loc.gov/lccn/sn89058128/1899-12-07/ed-1/seq-4/#words=lot+went+out+spake+unto+sons+law+married+daughters+said+up+get+you+out+place+lord+destroy+city+seemed+one+mocked+unto+sons+law,FALSE,no,of this place for,1,0.01265822785,0.124333313,sn89058128/1899-12-07/ed-1/seq-4/
Matthew 24:40 (KJV),"Then shall two be in the field; the one shall be taken, and the other left.",http://chroniclingamerica.loc.gov/lccn/sn85033781/1876-07-21/ed-1/seq-3/#words=shall+two+field+one+shall+taken+other+left,TRUE,yes,be taken and the other,9,0.36,3.13662664,sn85033781/1876-07-21/ed-1/seq-3/
