reference,verse,url,match,likely,most_unusual_phrase,token_count,proportion,tfidf,tf,position_range,position_sd,page,runs_pval
Exodus 34:10 (KJV),"And he said, Behold, I make a covenant: before all thy people I will do marvels, such as have not been done in all the earth, nor in any nation: and all the people among which thou art shall see the work of the LORD: for it is a terrible thing that I will do with thee.",http://chroniclingamerica.loc.gov/lccn/sn83040340/1877-05-19/ed-1/seq-2/#words=said+behold+i+make+covenant+before+all+thy+people+i+marvels+been+done+all+earth+nor+any+nation+all+people+among+thou+art+shall+see+work+lord+terrible+thing+i+thee,,no,have not been,1,0.0028735632183908,0.0983134245465888,0.0114942528735632,NA,NA,sn83040340/1877-05-19/ed-1/seq-2/,0.990009909240281
Matthew 16:17 (KJV),"And Jesus answered and said unto him, Blessed art thou, Simon Barjona: for flesh and blood hath not revealed it unto thee, but my Father which is in heaven.",http://chroniclingamerica.loc.gov/lccn/sn85033781/1896-02-26/ed-1/seq-6/#words=jesus+answered+said+unto+blessed+art+thou+simon+barjona+flesh+blood+hath+revealed+unto+thee+my+father+heaven,,yes,thee father which,11,0.25,2.38800159494924,0.25,42,16.312293189215,sn85033781/1896-02-26/ed-1/seq-6/,0
Matthew 24:6 (KJV),"And ye shall hear of wars and rumours of wars: see that ye be not troubled: for all these things must come to pass, but the end is not yet.",http://chroniclingamerica.loc.gov/lccn/sn88076514/1889-02-09/ed-1/seq-2/#words=ye+shall+hear+wars+rumours+wars+see+ye+troubled+all+things+must+come+pass+end+yet,,no,all things must,1,0.0227272727272727,0.210145798093481,0.0227272727272727,NA,NA,sn88076514/1889-02-09/ed-1/seq-2/,0.990611065039519
John 20:10 (KJV),Then the disciples went away again unto their own home.,http://chroniclingamerica.loc.gov/lccn/sn84026788/1898-11-15/ed-1/seq-1/#words=disciples+went+away+again+unto+own+home,,possibly,went away again,1,0.0666666666666667,0.582372632823146,0.0666666666666667,NA,NA,sn84026788/1898-11-15/ed-1/seq-1/,0.990616909920802
1 Chronicles 14:8 (KJV),"And when the Philistines heard that David was anointed king over all Israel, all the Philistines went up to seek David. And David heard of it, and went out against them.",http://chroniclingamerica.loc.gov/lccn/sn83025293/1864-10-22/ed-1/seq-1/#words=when+philistines+heard+david+anointed+king+over+all+israel+all+philistines+went+up+seek+david+david+heard+went+out+against,,no,out against them,1,0.02,0.171065358711065,0.02,NA,NA,sn83025293/1864-10-22/ed-1/seq-1/,0.989657323917678
Philippians 3:4 (KJV),"Though I might also have confidence in the flesh. If any other man thinketh that he hath whereof he might trust in the flesh, I more:",http://chroniclingamerica.loc.gov/lccn/sn82014635/1896-03-26/ed-1/seq-3/#words=though+i+might+also+confidence+flesh+any+other+man+thinketh+hath+whereof+might+trust+flesh+i+more,,possibly,if any other man,3,0.0595238095238095,0.663262580571331,0.0714285714285714,3,1.52752523165195,sn82014635/1896-03-26/ed-1/seq-3/,0
Romans 8:31 (KJV),"What shall we then say to these things? If God be for us, who can be against us?",http://chroniclingamerica.loc.gov/lccn/sn84026688/1903-07-23/ed-1/seq-4/#words=what+shall+we+say+things+god+us+can+against+us,,yes,us who can against,15,0.521739130434782,6.2947044940574,0.652173913043478,1524,628.003237783586,sn84026688/1903-07-23/ed-1/seq-4/,0
Matthew 12:16 (KJV),And charged them that they should not make him known:,http://chroniclingamerica.loc.gov/lccn/sn86081853/1889-10-04/ed-1/seq-3/#words=charged+should+make+known,,possibly,not make him,1,0.1,0.895873304366139,0.1,NA,NA,sn86081853/1889-10-04/ed-1/seq-3/,0.98631907496263
2 Corinthians 6:10 (KJV),"As sorrowful, yet alway rejoicing; as poor, yet making many rich; as having nothing, and yet possessing all things.",http://chroniclingamerica.loc.gov/lccn/sn86069620/1897-03-11/ed-1/seq-2/#words=sorrowful+yet+alway+rejoicing+poor+yet+making+many+rich+having+nothing+yet+possessing+all+things,,yes,nothing yet possessing,27,0.75,7.238910168166,0.75,27,8.00231448001371,sn86069620/1897-03-11/ed-1/seq-2/,0
2 Chronicles 31:10 (KJV),"And Azariah the chief priest of the house of Zadok answered him, and said, Since the people began to bring the offerings into the house of the LORD, we have had enough to eat, and have left plenty: for the LORD hath blessed his people; and that which is left is this great store.",http://chroniclingamerica.loc.gov/lccn/sn82015387/1921-02-19/ed-1/seq-2/#words=azariah+chief+priest+house+zadok+answered+said+since+people+began+bring+offerings+house+lord+we+had+enough+eat+left+plenty+lord+hath+blessed+people+left+great+store,,no,we have had,1,0.0040650406504065,0.109252841995871,0.0121951219512195,NA,NA,sn82015387/1921-02-19/ed-1/seq-2/,0.986861238832908
Matthew 22:24 (KJV),"Saying, Master, Moses said, If a man die, having no children, his brother shall marry his wife, and raise up seed unto his brother.",http://chroniclingamerica.loc.gov/lccn/sn84020109/1875-07-29/ed-1/seq-2/#words=saying+master+moses+said+man+die+having+children+brother+shall+marry+wife+raise+up+seed+unto+brother,,no,having no children,1,0.0208333333333333,0.201080838004611,0.0208333333333333,NA,NA,sn84020109/1875-07-29/ed-1/seq-2/,0.990890585129007
1 John 2:28 (KJV),"And now, little children, abide in him; that, when he shall appear, we may have confidence, and not be ashamed before him at his coming.",http://chroniclingamerica.loc.gov/lccn/sn86071377/1850-07-18/ed-1/seq-4/#words=now+little+children+abide+when+shall+appear+we+may+confidence+ashamed+before+coming,,no,appear we may,1,0.0238095238095238,0.22980667200527,0.0238095238095238,NA,NA,sn86071377/1850-07-18/ed-1/seq-4/,0.988444745146584
Luke 19:10 (KJV),For the Son of man is come to seek and to save that which was lost.,http://chroniclingamerica.loc.gov/lccn/sn82016419/1880-03-12/ed-1/seq-1/#words=son+man+come+seek+save+lost,,yes,come seek save which lost,6,0.5,4.79215135310166,0.5,6,2.16024689946929,sn82016419/1880-03-12/ed-1/seq-1/,0
