reference,url,match
Luke 10:31 (KJV),http://chroniclingamerica.loc.gov/lccn/sn83040198/1897-12-23/ed-1/seq-3/#words=chance+came+down+certain+priest+way+when+saw+passed+other+side,FALSE
Romans 3:23 (KJV),http://chroniclingamerica.loc.gov/lccn/sn85034235/1883-01-25/ed-1/seq-1/#words=all+sinned+come+short+glory+god,TRUE
Judges 19:1 (KJV),http://chroniclingamerica.loc.gov/lccn/sn88076523/1911-08-18/ed-1/seq-2/#words=came+pass+those+days+when+king+israel+certain+levite+sojourning+side+mount+ephraim+took+concubine+out+bethlehemjudah,FALSE
Proverbs 10:28 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84026853/1886-04-28/ed-1/seq-1/#words=hope+righteous+shall+gladness+expectation+wicked+shall+perish,FALSE
Galatians 3:15 (KJV),http://chroniclingamerica.loc.gov/lccn/sn83025121/1897-03-02/ed-1/seq-2/#words=brethren+i+speak+after+manner+men+though+man's+covenant+yet+confirmed+man+disannulleth+addeth+thereto,FALSE
1 Maccabees 13:7 (KJV),http://chroniclingamerica.loc.gov/lccn/sn82014760/1862-03-19/ed-1/seq-1/#words=now+soon+people+heard+words+spirit+revived,FALSE
John 7:17 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84026688/1903-02-05/ed-1/seq-1/#words=any+man+shall+know+doctrine+whether+god+whether+i+speak+myself,TRUE
Ecclesiastes 1:2 (KJV),http://chroniclingamerica.loc.gov/lccn/sn86083274/1889-12-13/ed-1/seq-2/#words=vanity+vanities+saith+preacher+vanity+vanities+all+vanity,TRUE
Matthew 6:13 (KJV),http://chroniclingamerica.loc.gov/lccn/sn86072143/1876-12-01/ed-1/seq-1/#words=lead+us+temptation+deliver+us+evil+thine+kingdom+power+glory+ever+amen,TRUE
Acts 10:28 (KJV),http://chroniclingamerica.loc.gov/lccn/sn82015387/1898-12-17/ed-1/seq-4/#words=said+unto+ye+know+how+unlawful+thing+man+jew+keep+company+come+unto+one+another+nation+god+hath+shewed+me+i+should+call+any+man+common+unclean,FALSE
Isaiah 28:15 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84020104/1853-12-16/ed-1/seq-4/#words=because+ye+said+we+made+covenant+death+hell+we+agreement+when+overflowing+scourge+shall+pass+through+shall+come+unto+us+we+made+lies+our+refuge+under+falsehood+we+hid+ourselves,FALSE
Ecclesiasticus 17:5 (KJV),http://chroniclingamerica.loc.gov/lccn/sn86072143/1872-03-15/ed-1/seq-3/#words=received+use+five+operations+lord+sixth+place+imparted+understanding+seventh+speech+interpreter+cogitations+thereof,FALSE
Tobit 7:15 (KJV),http://chroniclingamerica.loc.gov/lccn/sn82016419/1877-07-27/ed-1/seq-1/#words=began+eat,FALSE
1 Kings 6:30 (KJV),http://chroniclingamerica.loc.gov/lccn/sn97071028/1888-06-08/ed-1/seq-1/#words=floor+house+overlaid+gold+within+without,FALSE
Baruch 2:26 (KJV),http://chroniclingamerica.loc.gov/lccn/sn88078726/1854-06-15/ed-1/seq-1/#words=house+called+thy+name+hast+thou+laid+waste+seen+day+wickedness+house+israel+house+juda,FALSE
Luke 1:63 (KJV),http://chroniclingamerica.loc.gov/lccn/sn83016942/1838-07-21/ed-1/seq-3/#words=asked+writing+table+wrote+saying+name+john+marvelled+all,FALSE
1 Samuel 17:3 (KJV),http://chroniclingamerica.loc.gov/lccn/sn83016943/1910-06-24/ed-1/seq-5/#words=philistines+stood+mountain+one+side+israel+stood+mountain+other+side+valley+between,FALSE
Ecclesiasticus 19:15 (KJV),http://chroniclingamerica.loc.gov/lccn/sn85025620/1888-03-01/ed-1/seq-2/#words=admonish+friend+many+times+slander+believe+every+tale,FALSE
Galatians 4:9 (KJV),http://chroniclingamerica.loc.gov/lccn/sn84024716/1908-06-03/ed-1/seq-3/#words=now+after+ye+known+god+rather+known+god+how+turn+ye+again+weak+beggarly+elements+whereunto+ye+desire+again+bondage,FALSE
1 Maccabees 2:21 (KJV),http://chroniclingamerica.loc.gov/lccn/sn83016810/1905-08-05/ed-1/seq-2/#words=god+forbid+we+should+forsake+law+ordinances,FALSE
