doc_id,version,part,book,chapter,verse,text
Matthew 17:21 (RV),RV,New Testament,Matthew,17,21,NA
Matthew 18:11 (RV),RV,New Testament,Matthew,18,11,NA
Matthew 23:14 (RV),RV,New Testament,Matthew,23,14,NA
Mark 7:16 (RV),RV,New Testament,Mark,7,16,NA
Mark 9:44 (RV),RV,New Testament,Mark,9,44,NA
Mark 9:46 (RV),RV,New Testament,Mark,9,46,NA
Mark 11:26 (RV),RV,New Testament,Mark,11,26,NA
Mark 15:28 (RV),RV,New Testament,Mark,15,28,NA
Luke 17:36 (RV),RV,New Testament,Luke,17,36,NA
Luke 23:17 (RV),RV,New Testament,Luke,23,17,NA
John 5:4 (RV),RV,New Testament,John,5,4,NA
Acts 8:37 (RV),RV,New Testament,Acts,8,37,NA
Acts 15:34 (RV),RV,New Testament,Acts,15,34,NA
Acts 24:7 (RV),RV,New Testament,Acts,24,7,NA
Acts 28:29 (RV),RV,New Testament,Acts,28,29,NA
Romans 16:24 (RV),RV,New Testament,Romans,16,24,NA
