verse_text,matching_words,match,version,verse_id,doc_id,tokens,tfidf,proportion,runs_pval,corpus
"The LORD thy God, he will go over before thee; he will destroy these nations from before thee, and thou shalt possess them: and Joshua, he shall go over before thee, as the LORD hath spoken.",go go thou go go go lord hath thou shalt go lord thy god go thee destroy nations thee thou shalt possess shall go thee hath lord lord shall lord thy thee thee thee thou go thou shalt go thee thee thee thee,,,Deuteronomy 31:3 (RV),sn86063952/1915-02-03/ed-1/seq-4/,135,5.516,0.562,0,chronam
And hath made us kings and priests unto God and his Father; to him be glory and dominion for ever and ever. Amen.,god god god god hath god made god made made ever ever god god glory father god god glory glory made ever god us ever unto made god ever made ever ever glory ever ever us us us us us unto us us hath made us kings priests unto god father glory dominion ever ever amen amen amen amen us made made ever ever ever,,,Revelation 1:6 (KJV),sn97067613/1894-03-01/ed-1/seq-5/,135,12.957,1.25,0,chronam
"Ye have heard that it was said by them of old time, Thou shalt not kill; and whosoever shall kill shall be in danger of the judgment:",old time said said time shall shall shall shall shall shall ye ye shall ye shall ye heard said old thou shalt kill whosoever shall kill shall danger judgment whosoever shall danger judgment thou shalt ye heard said whosoever shall whosoever shall ye ye said old,,,Matthew 5:21 (KJV),sn85042303/1916-03-13/ed-1/seq-6/,118,7.396,0.756,0,chronam
"So thou, son of man, I have set thee a watchman unto the house of Israel; therefore hear the word at my mouth, and give them warning from me.",give give give give give son man thee watchman unto house israel therefore hear word mouth give warning word hear set thee word give word,,,Ezekiel 33:7 (RV),10021978/1921-02-23/ed-1/seq-7/,110,6.062,0.611,0,chronam
"If we say that we have not sinned, we make him a liar, and his word is not in us.",us us word word us word word us us us say say say us sinned make liar word us make liar us word us us us sinned liar word sinned make us us us make us us us word word word word us liar word say us us us make make make say,,,1 John 1:10 (Douay-Rheims),sn88053055/1901-07-31/ed-1/seq-4/,105,10.75,1.094,0,chronam
"Wherefore they are no more twain, but one flesh. What therefore God hath joined together, let not man put asunder.",one man one one man man man put man one flesh one flesh therefore god hath joined together let man put asunder put put hath put man let one,,,Matthew 19:6 (KJV),sn85047084/1908-01-27/ed-1/seq-6/,105,7.292,0.729,0,chronam
"And he shall go out unto the altar that is before Jehovah, and make atonement for it, and shall take of the blood of the bullock, and of the blood of the goat, and put it upon the horns of the altar round about.",make make upon upon upon take shall put go go shall make shall shall make shall go unto altar make atonement shall take blood blood goat put upon horns altar round shall blood upon altar shall goat shall upon goat upon goat shall goat shall upon unto shall go goat shall shall put put shall go upon upon upon upon upon go,,,Leviticus 16:18 (ASV),sn83045433/1920-03-15/ed-1/seq-9/,101,4.883,0.495,0,chronam
"And he shall judge among many people, and rebuke strong nations afar off; and they shall beat their swords into plowshares, and their spears into pruninghooks: nation shall not lift up a sword against nation, neither shall they learn war any more.",war sword war war war war war sword nation nations war war war war many war war shall shall beat swords spears nation shall lift sword nation neither shall learn war war nations nations war war shall war nations war sword war war war war war nation war nation war sword war war nation war war war people war war war war nations war war nations war many war war nations war judge war war war war many war nations war war judge shall nation war war war strong war,,,Micah 4:3 (KJV),5FHD-1850-MAR05-001-003,93,2.847,0.298,0.011,ncnp
"Wherefore also God highly exalted him, and gave unto him the name which is above every name;",name name name every name name name name name name name name name name name name name name every name name name name every name name name every name name name name name name name name name name name name name name name name name name name name every every name name every name name name name name name name name name name name name name name name name name name every name god name name name name every every every name name name name name name name gave name name name every name name god name god name name every every name god name name every name god unto unto name god name name every also every every every also every name every,,,Philippians 2:9 (ASV),sn84022871/1892-05-02/ed-1/seq-6/,83,7.266,0.692,0,chronam
"And the ransomed of the LORD shall return, and come with singing unto Zion; and everlasting joy shall be upon their heads: they shall obtain gladness and joy, and sorrow and sighing shall flee away.",shall shall upon away upon unto away shall shall upon lord upon shall shall shall joy away shall sorrow lord lord shall return come singing unto zion joy shall upon shall obtain gladness joy sorrow shall flee away upon shall shall upon heads shall shall shall shall upon come upon come away come away heads come come come upon upon flee,,,Isaiah 51:11 (RV),5DMB-1841-MAR04-001-003,77,3.427,0.356,0,ncnp
